"ELM"	"GOTerm"
"DOC_MAPK_JIP1_4"	"GO:0043005"
"DOC_MAPK_JIP1_4"	"GO:0005634"
"DOC_MAPK_JIP1_4"	"GO:0006468"
"DOC_MAPK_JIP1_4"	"GO:0005515"
"DOC_MAPK_JIP1_4"	"GO:0043234"
"DOC_MAPK_JIP1_4"	"GO:0032947"
"DOC_MAPK_JIP1_4"	"GO:0043506"
"DOC_MAPK_JIP1_4"	"GO:0006355"
"DOC_MAPK_JIP1_4"	"GO:0000982"
"DOC_MAPK_MEF2A_6"	"GO:0003876"
"DOC_MAPK_MEF2A_6"	"GO:0072709"
"DOC_MAPK_MEF2A_6"	"GO:0005829"
"DOC_MAPK_MEF2A_6"	"GO:0007507"
"DOC_MAPK_MEF2A_6"	"GO:0035556"
"DOC_MAPK_MEF2A_6"	"GO:0000165"
"DOC_MAPK_MEF2A_6"	"GO:0005634"
"DOC_MAPK_MEF2A_6"	"GO:0006468"
"DOC_MAPK_MEF2A_6"	"GO:0005515"
"DOC_MAPK_MEF2A_6"	"GO:0019901"
"DOC_MAPK_MEF2A_6"	"GO:0004674"
"DOC_MAPK_MEF2A_6"	"GO:0006355"
"DOC_MAPK_MEF2A_6"	"GO:0005667"
